Community,Date,Time,Fixture type,Competition,Home,Home Score,Away Score,Away,Winner,No Score Type,Walkover Reason,Venue,Team Type,Conference,Tier,Score Margin,Total Points ,Team Conceding Walkover,Fixtures,League Fixtures,Knockout Fixtures,Number of Walkovers,Voids,Blowout Game(s),Zero Score?,Blowout to Zero
BUCS Hockey 19-20,11/03/2019,15:30,Tournament,ICG Women's Western Conference Cup,Plymouth Women's 1,2,3,Cardiff Women's 3,Cardiff Women's 3,,,,Women's,Western Conference Cup,Western Conference Cup,1,5,,1,0,1,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,12:30,League,Men's Scottish Tier 3 ,Heriot-Watt Men's 2,0,0,Edinburgh Men's 5,,Draw,,Peffermill Playing Fields Provider: BUCS Hockey 19-20,Men's,Scottish,Season,0,0,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,13:00,League,Men's Scottish Tier 4 ,Aberdeen Men's 3,0,1,Stirling Men's 3,Stirling Men's 3,,,"Hillhead Pitches, Hillhead Centre Provider: BUCS Hockey 19-20",Men's,Scottish,Season,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,13:00,League,ICG Women's Scottish Tier 5,Edinburgh Women's 7,4,2,Heriot-Watt Women's 2,Edinburgh Women's 7,,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,2,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,13:00,League,Men's Scottish Tier 1,Aberdeen Men's 1,3,2,Heriot-Watt Men's 1,Aberdeen Men's 1,,,ASV Hockey Pitch (Water based) Provider: BUCS Hockey 19-20,Men's,Scottish,Tier 1,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,13:00,League,ICG Women's Scottish Tier 1,Glasgow Women's 1,0,1,Edinburgh Women's 2,Edinburgh Women's 2,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 1,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,13:30,League,ICG Women's Scottish Tier 4,St Andrews Women's 3,3,1,Stirling Women's 2,St Andrews Women's 3,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Women's,Scottish,Season,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,13:30,League,Men's Scottish Tier 1,Abertay Men's 1,2,4,St Andrews Men's 1,St Andrews Men's 1,,,"DISC
Mains Loan, Dundee, DD4 7AA Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 1,2,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:00,League,ICG Women's Scottish Tier 1,Strathclyde Women's 1,1,3,Dundee Women's 1,Dundee Women's 1,,,"University of Strathclyde - Stepps Playing Fields, 15 Avenue End Road, Glasgow, G33 6ND Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 1,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:00,League,ICG Women's Scottish Tier 4,Dundee Women's 2,5,1,Glasgow Women's 4,Dundee Women's 2,,,"Riverside Sports Grounds	Riverside Drive	DD2 1UQ	01382 669568	On A85 next to Dundee Airport	
 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,4,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:00,League,Men's Scottish Tier 2 ,Edinburgh Men's 3,2,3,Stirling Men's 1,Stirling Men's 1,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 2,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:30,League,Men's Scottish Tier 1,Edinburgh Men's 2,2,2,Glasgow Men's 1,,Draw,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 1,0,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,14:30,League,Men's Scottish Tier 4 ,Glasgow Men's 3,6,1,Aberdeen Men's 2,Glasgow Men's 3,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Men's,Scottish,Season,5,7,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,15:00,League,ICG Women's Scottish Tier 1,St Andrews Women's 1,1,0,Stirling Women's 1,St Andrews Women's 1,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Women's,Scottish,Tier 1,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,15:30,League,Men's Scottish Tier 3 ,Strathclyde Men's 2,3,1,Edinburgh Men's 4,Strathclyde Men's 2,,,"University of Strathclyde - Stepps Playing Fields, 15 Avenue End Road, Glasgow, G33 6ND Provider: BUCS Hockey 19-20",Men's,Scottish,Season,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,15:30,League,ICG Women's Scottish Tier 3,Abertay Women's 1,5,2,Strathclyde Women's 2,Abertay Women's 1,,,"DISC
Mains Loan, Dundee, DD4 7AA Provider: BUCS Hockey 19-20",Women's,Scottish,Season,3,7,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,15:30,League,ICG Women's Scottish Tier 2,Edinburgh Women's 4,1,2,Robert Gordon Women's 1,Robert Gordon Women's 1,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 2,1,3,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,16:00,League,ICG Women's Scottish Tier 2,Aberdeen Women's 1,2,2,Glasgow Women's 2,,Draw,,ASV Hockey Pitch (Water based) Provider: BUCS Hockey 19-20,Women's,Scottish,Tier 2,0,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,16:00,League,ICG Women's Scottish Tier 4,Aberdeen Women's 2,1,7,Edinburgh Women's 5,Edinburgh Women's 5,,,"Hillhead Pitches, Hillhead Centre Provider: BUCS Hockey 19-20",Women's,Scottish,Season,6,8,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,16:00,League,ICG Women's Scottish Tier 2,Edinburgh Women's 3,2,1,Heriot-Watt Women's 1,Edinburgh Women's 3,,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 2,1,3,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,16:00,League,Men's Scottish Tier 2 ,Glasgow Men's 2,1,0,St Andrews Men's 2,Glasgow Men's 2,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 2,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,16:30,League,ICG Women's Scottish Tier 5,St Andrews Women's 4,3,2,Queen Margaret Women's 1,St Andrews Women's 4,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Women's,Scottish,Season,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,17:00,League,ICG Women's Scottish Tier 5,Edinburgh Women's 6,13,1,Stirling Women's 3,Edinburgh Women's 6,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,12,14,,1,1,0,0,0,1,0,0
BUCS Hockey 19-20,25/09/2019,17:00,League,ICG Women's Scottish Tier 5,UWS Women's 1,4,0,Strathclyde Women's 3,UWS Women's 1,,,"Clydesdale Hockey Club
22 Beaton Rd,
 Glasgow
 G41 4LB Provider: BUCS Hockey 19-20",Women's,Scottish,Season,4,4,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,17:00,League,Men's Scottish Tier 3 ,Strathclyde Men's 3,1,4,Glasgow Caledonian Men's 1,Glasgow Caledonian Men's 1,,,"University of Strathclyde - Stepps Playing Fields, 15 Avenue End Road, Glasgow, G33 6ND Provider: BUCS Hockey 19-20",Men's,Scottish,Season,3,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,17:30,League,ICG Women's Scottish Tier 5,Glasgow Women's 5,9,0,Stirling Women's 4,Glasgow Women's 5,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Women's,Scottish,Season,9,9,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,25/09/2019,18:30,League,ICG Women's Scottish Tier 5,Edinburgh Napier Women's 2,1,3,St Andrews Women's 5,St Andrews Women's 5,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,19:00,League,ICG Women's Scottish Tier 3,Glasgow Women's 3,3,1,Glasgow Caledonian Women's 1,Glasgow Women's 3,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Women's,Scottish,Season,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,25/09/2019,19:00,League,ICG Women's Scottish Tier 3,Edinburgh Napier Women's 1,0,1,St Andrews Women's 2,St Andrews Women's 2,,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,12:30,League,ICG Women's Scottish Tier 5,Edinburgh Napier Women's 2,0,9,St Andrews Women's 4,St Andrews Women's 4,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,9,9,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,13:00,League,Men's Scottish Tier 4 ,Glasgow Men's 3,3,0,Edinburgh Men's 6,Glasgow Men's 3,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Men's,Scottish,Season,3,3,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,13:00,League,Men's Scottish Tier 4 ,Aberdeen Men's 3,1,14,Robert Gordon Men's 1,Robert Gordon Men's 1,,,"Hillhead Pitches, Hillhead Centre Provider: BUCS Hockey 19-20",Men's,Scottish,Season,13,15,,1,1,0,0,0,1,0,0
BUCS Hockey 19-20,02/10/2019,13:00,League,ICG Women's Scottish Tier 2,Robert Gordon Women's 1,1,4,Aberdeen Women's 1,Aberdeen Women's 1,,,"Aberdeen Sports Village, Linksfield Rd, Aberdeen AB24 5RU Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 2,3,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,13:00,League,ICG Women's Scottish Tier 2,Heriot-Watt Women's 1,2,2,Glasgow Women's 2,,Draw,,Peffermill Playing Fields Provider: BUCS Hockey 19-20,Women's,Scottish,Tier 2,0,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,13:00,League,ICG Women's Scottish Tier 4,Stirling Women's 2,1,5,Dundee Women's 2,Dundee Women's 2,,,"Gannochy Sand Astro	
Gannochy Sports Centre	
FK9 4LA Provider: BUCS Hockey 19-20",Women's,Scottish,Season,4,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,13:15,League,ICG Women's Scottish Tier 5,Stirling Women's 4,1,5,Strathclyde Women's 3,Strathclyde Women's 3,,,"The PEAK
Stirling Sports Village	
FK8 1QZ Provider: BUCS Hockey 19-20",Women's,Scottish,Season,4,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,13:30,League,Men's Scottish Tier 1,St Andrews Men's 1,1,3,Aberdeen Men's 1,Aberdeen Men's 1,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Men's,Scottish,Tier 1,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,13:30,League,Men's Scottish Tier 1,Abertay Men's 1,2,6,Edinburgh Men's 2,Edinburgh Men's 2,,,"DISC
Mains Loan, Dundee, DD4 7AA Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 1,4,8,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,14:00,League,Men's Scottish Tier 2 ,Dundee Men's 1,7,6,Stirling Men's 1,Dundee Men's 1,,,"Riverside Sports Grounds	Riverside Drive	DD2 1UQ	01382 669568	On A85 next to Dundee Airport	
 Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 2,1,13,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,14:00,League,ICG Women's Scottish Tier 5,Queen Margaret Women's 1,0,8,Heriot-Watt Women's 2,Heriot-Watt Women's 2,,,Peffermill Playing Fields Provider: BUCS Hockey 19-20,Women's,Scottish,Season,8,8,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,14:30,League,Men's Scottish Tier 4 ,Stirling Men's 2,2,6,Aberdeen Men's 2,Aberdeen Men's 2,,,"Gannochy Sand Astro	
Gannochy Sports Centre	
FK9 4LA Provider: BUCS Hockey 19-20",Men's,Scottish,Season,4,8,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,14:30,League,Men's Scottish Tier 3 ,Edinburgh Men's 4,1,1,Edinburgh Men's 5,,Draw,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Men's,Scottish,Season,0,2,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,15:00,League,ICG Women's Scottish Tier 1,St Andrews Women's 1,1,0,Glasgow Women's 1,St Andrews Women's 1,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Women's,Scottish,Tier 1,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,15:15,League,ICG Women's Scottish Tier 5,Stirling Women's 3,3,6,UWS Women's 1,UWS Women's 1,,,"The PEAK
Stirling Sports Village	
FK8 1QZ Provider: BUCS Hockey 19-20",Women's,Scottish,Season,3,9,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,15:30,League,Men's Scottish Tier 4 ,Dundee Men's 2,1,2,St Andrews Men's 3,St Andrews Men's 3,,,"Riverside Sports Grounds	Riverside Drive	DD2 1UQ	01382 669568	On A85 next to Dundee Airport	
 Provider: BUCS Hockey 19-20",Men's,Scottish,Season,1,3,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,15:30,League,Men's Scottish Tier 3 ,Strathclyde Men's 3,1,8,Strathclyde Men's 2,Strathclyde Men's 2,,,"University of Strathclyde - Stepps Playing Fields, 15 Avenue End Road, Glasgow, G33 6ND Provider: BUCS Hockey 19-20",Men's,Scottish,Season,7,9,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,15:30,League,ICG Women's Scottish Tier 2,Edinburgh Women's 4,0,3,Edinburgh Women's 3,Edinburgh Women's 3,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 2,3,3,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,16:00,League,ICG Women's Scottish Tier 1,Edinburgh Women's 2,0,1,Dundee Women's 1,Dundee Women's 1,,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 1,1,1,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,16:00,League,ICG Women's Scottish Tier 1,Stirling Women's 1,1,2,Strathclyde Women's 1,Strathclyde Women's 1,,,"Gannochy Sand Astro	
Gannochy Sports Centre	
FK9 4LA Provider: BUCS Hockey 19-20",Women's,Scottish,Tier 1,1,3,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,16:00,League,Men's Scottish Tier 1,Glasgow Men's 1,4,0,Heriot-Watt Men's 1,Glasgow Men's 1,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Men's,Scottish,Tier 1,4,4,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,16:30,League,ICG Women's Scottish Tier 3,St Andrews Women's 2,5,1,Glasgow Women's 3,St Andrews Women's 2,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Women's,Scottish,Season,4,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,17:00,League,ICG Women's Scottish Tier 3,Glasgow Caledonian Women's 1,1,11,Abertay Women's 1,Abertay Women's 1,,,"Glasgow National Hockey Centre, 8 Kings Drive, G40 1HB Provider: BUCS Hockey 19-20",Women's,Scottish,Season,10,12,,1,1,0,0,0,1,0,0
BUCS Hockey 19-20,02/10/2019,17:00,League,ICG Women's Scottish Tier 4,Edinburgh Women's 5,3,0,Glasgow Women's 4,Edinburgh Women's 5,,,"Sport & Exercise Peffermill, Water Based 2 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,3,3,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,17:30,League,ICG Women's Scottish Tier 5,Edinburgh Women's 7,7,0,St Andrews Women's 5,Edinburgh Women's 7,,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,7,7,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,17:30,League,ICG Women's Scottish Tier 5,Glasgow Women's 5,0,9,Edinburgh Women's 6,Edinburgh Women's 6,,,"Garscube Sports Complex, West of Scotland Science Park, Maryhill Road, Glasgow. G20 0SP (01413305363) Provider: BUCS Hockey 19-20",Women's,Scottish,Season,9,9,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,18:00,League,ICG Women's Scottish Tier 4,St Andrews Women's 3,3,0,Aberdeen Women's 2,St Andrews Women's 3,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Women's,Scottish,Season,3,3,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,18:30,League,Men's Scottish Tier 3 ,Glasgow Caledonian Men's 1,5,0,Heriot-Watt Men's 2,Glasgow Caledonian Men's 1,,,"Glasgow National Hockey Centre, 8 Kings Drive, G40 1HB Provider: BUCS Hockey 19-20",Men's,Scottish,Season,5,5,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,02/10/2019,19:00,League,ICG Women's Scottish Tier 3,Edinburgh Napier Women's 1,2,3,Strathclyde Women's 2,Strathclyde Women's 2,,,"Sport & Exercise Peffermill, Water Based 1 Provider: BUCS Hockey 19-20",Women's,Scottish,Season,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,02/10/2019,19:30,League,Men's Scottish Tier 2 ,St Andrews Men's 2,1,2,Edinburgh Men's 3,Edinburgh Men's 3,,,University Sports Centre St Leonards Road  St andrews KY16 9DY 01334 462190  Provider: BUCS Hockey 19-20,Men's,Scottish,Tier 2,1,3,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,11:30,League,ICG Women's Western Tier 4,Cardiff Met Women's 4,4,4,Bristol Women's 6,,Draw,,Hockey Astro Turf (Sand Dressed) Provider: BUCS Hockey 19-20,Women's,Western,Season,0,8,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,12:00,League,ICG Women's South Eastern Tier 3 ,Reading  Women's 2,9,0,Reading  Women's 3,Reading  Women's 2,,,"Reading University SportsPark - STP
Shinfield Road
Whiteknights Campus
Reading
RG6 6UR Provider: BUCS Hockey 19-20",Women's,South Eastern,Season,9,9,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,09/10/2019,12:15,League,Men's Northern Tier 5,Sheffield Men's 4,5,1,York St John Men's 1,Sheffield Men's 4,,,"Norton Sports Park (Astro) 
289 Warminster Road, 
Sheffield
 S8 8PS Provider: BUCS Hockey 19-20",Men's,Northern,Season,4,6,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,12:30,League,ICG Women's Scottish Tier 5,Queen Margaret Women's 1,5,5,Edinburgh Women's 7,,Draw,,Peffermill Playing Fields Provider: BUCS Hockey 19-20,Women's,Scottish,Season,0,10,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's South Eastern Tier 3,Royal Holloway Men's 1,3,2,Imperial Men's 3,Royal Holloway Men's 1,,,Royal Holloway - MY Astroturf Provider: BUCS Hockey 19-20,Men's,South Eastern,Season,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's South Eastern Tier 4,Brunel Men's 2,1,6,Roehampton Men's 1,Roehampton Men's 1,,,"Multi-Use, Sports Park, Brunel University, Kingston Lane, Uxbridge, UB8 3PH Provider: BUCS Hockey 19-20",Men's,South Eastern,Season,5,7,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's South Eastern Tier 4,Chichester Men's 2,0,3,UCL Men's 4 (RUMS),UCL Men's 4 (RUMS),,,"UoC Astro, College Lane, Chichester, PO19 6PE Provider: BUCS Hockey 19-20",Men's,South Eastern,Season,3,3,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Northern Tier 4,Leeds Beckett  Men's 3,0,10,Hull Men's 1,Hull Men's 1,,,"Hockey Pitch, Headingley Campus, Leeds LS6 3QQ  Provider: BUCS Hockey 19-20",Men's,Northern,Season,10,10,,1,1,0,0,0,1,1,1
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's Midlands Tier 3,Nottingham   Women's 6,12,0,Northampton Women's 1,Nottingham   Women's 6,,,"Sand dressed Astro, David Ross Sports Centre (DRSV), Beeston Lane, Nottingham. NG7 2RJ Provider: BUCS Hockey 19-20",Women's,Midlands,Season,12,12,,1,1,0,0,0,1,1,1
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's Midlands Tier 4,Bedfordshire Women's 1,2,3,Leicester Women's 2,Leicester Women's 2,,,"Polhill Astro
University of Bedfordshire
Polhill Avenue 
Bedford 
MK41 9EA Provider: BUCS Hockey 19-20",Women's,Midlands,Season,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's Western Tier 5,Winchester Women's 2,0,0,UW TSD: Carmarthen Women's 1,Winchester Women's 2,HomeWalkover,Unable to field a team,"Winchester Sports Stadium
Milland Road
Winchester
Hampshire
SO23 0QA Provider: BUCS Hockey 19-20",Women's,Western,Season,0,0,UW TSD: Carmarthen Women's 1,1,1,0,1,0,0,1,0
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's Northern Tier 5,Hull Women's 2,1,8,Sheffield Women's 4,Sheffield Women's 4,,,Uni of Hull Sport Park (Astroturf) Provider: BUCS Hockey 19-20,Women's,Northern,Season,7,9,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's Western Tier 2,Bath Women's 3,0,2,Exeter Women's 5,Exeter Women's 5,,,"SITEC Pitch (waterbased): Sports Training Village, University of Bath, Claverton Down Road, Combe Down, Bath, BA2 7AY UK Provider: BUCS Hockey 19-20",Women's,Western,Tier 2,2,2,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's Western Tier 2,Cardiff Women's 4,7,2,USW Women's 1,Cardiff Women's 4,,,"Hockey Pitch, Talybont Sports Training Village, Off Excelsior Road, Cardiff, CF14 3AT Provider: BUCS Hockey 19-20",Women's,Western,Tier 2,5,9,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's Northern Tier 4,Sheffield Hallam  Women's 3,0,2,Leeds Beckett  Women's 3,Leeds Beckett  Women's 3,,,Abbeydale Sports Club (Water Based) Provider: BUCS Hockey 19-20,Women's,Northern,Season,2,2,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Western Tier 1,Exeter Men's 4,1,2,Bristol Men's 2,Bristol Men's 2,,,"Water Pitch, University of Exeter Sports Park, Stocker Road, Exeter, EX4 4QN Provider: BUCS Hockey 19-20",Men's,Western,Tier 1,1,3,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's Midlands Tier 1,Warwick Women's 1,0,5,Nottingham   Women's 3,Nottingham   Women's 3,,,"Waterbased Hockey Pitch - Westwood Campus, Kirby Corner Road, Coventry, UK CV4 8AH Provider: BUCS Hockey 19-20",Women's,Midlands,Tier 1,5,5,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,09/10/2019,13:00,League,ICG Women's South Eastern Tier 1,Portsmouth Women's 1,3,2,UCL Women's 2 (RUMS),Portsmouth Women's 1,,,"Astro - Langstone Pitches, Furze Lane, Southsea, PO4 8LW Provider: BUCS Hockey 19-20",Women's,South Eastern,Tier 1,1,5,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Northern Tier 3,Liverpool Men's 2,6,0,Manchester Men's 4,Liverpool Men's 2,,,"
 Wyncote Sports Ground, Mather Ave, Liverpool L18 6HF
 Provider: BUCS Hockey 19-20",Men's,Northern,Season,6,6,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Midlands Tier 2,Nottingham Trent Men's 3,5,0,Lincoln Men's 1,Nottingham Trent Men's 3,,,Clifton Hockey Pitch Provider: BUCS Hockey 19-20,Men's,Midlands,Tier 2,5,5,,1,1,0,0,0,0,1,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Western Tier 2 ,Bournemouth Men's 1,7,4,Exeter Men's 5,Bournemouth Men's 1,,,"Bournemouth University Sports Campus, Chapel Gate, Christchurch, BH23 6BL Provider: BUCS Hockey 19-20",Men's,Western,Tier 2,3,11,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Western Tier 3 ,Bath Men's 5,3,1,Bournemouth Men's 2,Bath Men's 5,,,"Astro 1 (sandbased): Sports Training Village, University of Bath, Claverton Down Road, Combe Down, Bath, BA2 7AY UK Provider: BUCS Hockey 19-20",Men's,Western,Season,2,4,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Midlands Tier 3,Warwick Men's 3,1,1,Birmingham Men's 5,,Draw,,"Sandbased Hockey Pitch - Westwood Campus, Kirby Corner Road, Coventry, UK CV4 8UW Provider: BUCS Hockey 19-20",Men's,Midlands,Season,0,2,,1,1,0,0,0,0,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Western Tier 4,Southampton Men's 4,1,11,Marjon Men's 1,Marjon Men's 1,,,"Wide Lane Sports Ground, Wide Lane, Eastleigh, Hampshire, SO50 5PE Provider: BUCS Hockey 19-20",Men's,Western,Season,10,12,,1,1,0,0,0,1,0,0
BUCS Hockey 19-20,09/10/2019,13:00,League,Men's Northern Tier 5,Leeds Men's 5,0,6,Newcastle Men's 4,Newcastle Men's 4,,,"Sports Park Weetwood, Ring Road Leeds, Weetwood, LS16 5AU Provider: BUCS Hockey 19-20",Men's,Northern,Season,6,6,,1,1,0,0,0,0,1,0
